Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,rule
172.16.0.1-192.168.10.50-60132-21-6,172.16.0.1,60132,192.168.10.50,21,6,4/7/2017 10:20,20,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60134-21-6,172.16.0.1,60134,192.168.10.50,21,6,4/7/2017 10:20,38,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,52631.57895,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,26315.78947,26315.78947,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60136-21-6,172.16.0.1,60136,192.168.10.50,21,6,4/7/2017 10:20,80,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12500.0,12500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60126-21-6,172.16.0.1,60126,192.168.10.50,21,6,4/7/2017 10:20,68,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29411.76471,68.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,14705.88235,14705.88235,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60128-21-6,172.16.0.1,60128,192.168.10.50,21,6,4/7/2017 10:20,47,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42553.19149,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,21276.59574,21276.59574,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60130-21-6,172.16.0.1,60130,192.168.10.50,21,6,4/7/2017 10:20,83,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.38554,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12048.19277,12048.19277,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60124-21-6,172.16.0.1,60124,192.168.10.50,21,6,4/7/2017 10:20,265,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,52830.18868,11320.75472,132.5,71.4177849,183.0,82.0,265.0,265.0,0.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,7547.169811,3773.584906,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60144-21-6,172.16.0.1,60144,192.168.10.50,21,6,4/7/2017 10:20,3302859,6,6,36,76.0,22,0,6.0,9.633275663,34,0,12.66666667,14.67878287,33.91001554,3.63321595,300259.9091,977989.9797,3248752.0,3.0,3302859.0,660571.8,1471692.192,3293208.0,3.0,3302056.0,660411.2,1447040.35,3248752.0,3.0,0,0,0,0,200,200,1.816607975,1.816607975,0,34,8.615384615,12.09365165,146.2564103,0,0,0,1,0,0,0,0,1,9.333333333,6.0,12.66666667,0,0,0,0,0,0,6,36,6,76,29200,227,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60120-21-6,172.16.0.1,60120,192.168.10.50,21,6,4/7/2017 10:20,3,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
172.16.0.1-192.168.10.50-60122-21-6,172.16.0.1,60122,192.168.10.50,21,6,4/7/2017 10:20,215,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,65116.27907,13953.48837,107.5,120.9152596,193.0,22.0,215.0,215.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9302.325581,4651.162791,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,brute_force_rate
